title,dates,start,end,span,description,people,doctype,publisher,keywords,locations,filetype,item-id,source,type,format,rights,language,link,cdmid
Idaho History: Historic Buildings and Sites II Folder,6/2/1935 - 12/12/1996,6/2/1935,12/12/1996,1935-1996,59 pages of subject files containing and related to Idaho History: Historic Buildings and Sites II,,Magazine clippings,Cascade News; Idaho Statesman;,Stage Stops; Churches; Hotels; Homes; Sun Valley; Milner Hotel; Egyptian Theater; Ada County; Kuna High School; Alexander House; Hyde Park; Magic Valley;,"Sun Valley; Horseshoe Bend, ID; Boise, ID; Idaho City, ID;",Subject Files,Idaho_History-Historic_Buildings_and_Sites_II,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/619,619
Idaho History: Historic Persons Folder,5/5/1940 - 2/22/2002,5/5/1940,2/22/2002,1940-2002,179 pages of subject files containing and related to Idaho History: Historic Persons,"Gurnsey, Kathleen; Edwards, Emma; Dawson, William Alson; Clark, Ida; Fee, Jeff; Allen, Roxanna; McMillan, John; Willey, Norman B.; Lamb, Viola;",,Idaho Statesman; The Star-News; Central Idaho Star News;,Politicians; Hermits; Developers; Miners; Sheep Herders; Ranchers;,"Slaughter House Gulch; Boise, ID; Grangeville, ID; Cuprum, ID;",Subject Files,Idaho_History-Historic_Persons,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/620,620
Idaho History: Medicine Folder,7/7/1902 - 12/28/1995,7/7/1902,12/28/1995,1902-1995,15 pages of subject files containing and related to Idaho History: Medicine,,,Idaho Statesman; The Star-News;,Physicians; Cancer; Saint Alphonsus Hospital; Saint Lukes Hospital; Idaho Doctors; Boise Health Care; Elk&apos;s Rehab Center,"Boise, ID;",Subject Files,Idaho_History-Medicine,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/621,621
Idaho History: Military Folder,7/3/1974 - 8/22/1976,7/3/1974,8/22/1976,1974-1976,11 pages of subject files containing and related to Idaho History: Military,,,Idaho Statesman;,GAR Hall; Fort Boise; Battleship Idaho;,"Boise, ID;",Subject Files,Idaho_History-Military,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/622,622
Idaho History: Politics Folder,7/19/1911 - 4/20/2016,7/19/1911,4/20/2016,1911-2016,53 pages of subject files containing and related to Idaho History: Politics,"McCubbin, Stacia; Roller, Gertrude; Scriver, Christie; Hawley, James; Green, Emma; Wells, Merle; Parker, Ed;",Legal Papers;,Idaho Statesman; The Star-News;,Legislature; Women&apos;s Votes; Elections; Parties; Laws; Idaho Gold Dredging Company; Women&apos;s Equality; McCall Incorporation; Progressive Movement;,"Silver City, ID; Boise, ID; McCall, ID; Donnelly, ID; Valley County;",Subject Files,Idaho_History-Politics,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/623,623
Idaho History: Transportation Folder,1/6/1950 - 9/24/2015,1/6/1950,9/24/2015,1950-2015,44 pages of subject files containing and related to Idaho History: Transportation,William Borah;,Booklet;,High Country News; Idaho Statesman;,"P.I.N; Boise, Nampa &amp; Owyhee Railroad; Big Mik; Stations; Railroads; Autos; Coaches; Ferrys; Horses; Pack Trains; Streetcars; Steamships; Teamsters; Wood River Wagon Days;","Boise, ID;",Subject Files,Idaho_History-Transportation,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/624,624
Idaho History: Transportation and Railroads Folder,5/31/1936 - 4/9/2015,5/31/1936,4/9/2015,1936-2015,24 pages of subject files containing and related to Idaho History: Transportation and Railroads,Robert Strahorn;,,High Country News; Idaho Statesman; The Star-News;,"P.I.N; Boise, Nampa &amp; Owyhee Railroad; Big Mik; Stations; Railroads; Shoshone; Lake Lowell; Train Wrecks; Boise Train Depot; Union Pacific; Stage Coach Rules;","Shoshone, ID; Murphy, ID; Owyhee, ID; Boise, ID;",Subject Files,Idaho_History-Transportation_and_Railroads,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/625,625
Idaho History: Weather and Climate Folder,6/7/1948 - 1/8/1997,6/7/1948,1/8/1997,1948-1997,9 pages of subject files containing and related to Idaho History: Weather and Climate,,,Idaho Statesman;,Floods; Flumes; Heavy Snow Packs; Brundage Ski Resort;,"Riggins, ID; New Meadows, ID; Goose creek; Little Salmon river; Cascade, ID; Brundage Mountain;",Subject Files,Idaho_History-Weather_and_Climate,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/626,626
Idaho National Forest Folder,12/28/1940 - 2/26/1980,12/28/1940,2/26/1980,1940-1980,61 pages of subject files containing and related to Idaho National Forest,Walter G. Mann; Julian E. Rothery;,Registry; Written History; Written Stories;,Weiser National Forest Service; Yale Forest School Alumni Association;,Pioneers; Place Names;,Payette National Forest; Idaho Primitive Area;,Subject Files,Idaho_National_Forest,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/627,627
"Idaho History: Entertainment, Press, Sports Folder",12/1/1800 - 1/1/2001,1800-12-01,1/1/2001,1800-2001,"23 pages of subject files containing and related to Idaho History: Entertainment, Press, Sports",Arthur A. Hart; Nathan Falk; Edward L.Curtis Nye;,Program;,Idaho Statesman;,Theater; Music; Clubs; Slocum&apos;s Hall; Good Templars&apos; Hall; River Ice Skating; Musical Kaisers; Lyric Theatre; Dickens Club; Edward L. Curtis Nye&apos;s Drugstore; Chess; Good Templars; Gay Nineties; Whist Club; Mountain Home Ball Park; 1907; Prune Pickers vs. Melon Eaters; Boz Theater; 1910 ; Sonna Opera House,"Boise, ID; Idaho City, ID;",Subject Files,Idaho_History-Entertainment_Press_Sports,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/628,628
Idaho Primitive Area Folder,9/23/1938 - 4/1/1982,9/23/1938,4/1/1982,1938-1982,26 pages of subject files containing and related to Idaho Primitive Area,E. P. Parker; Billy Mitchell; Frank Lantz;,Sales Pamphlet; Written History;,Idaho Statesman; Payette Lakes Star; The Star-News;,Pioneers; History; Happy Hollow Camps; Trails; Hot Springs; Billy Mitchell cabin; U.S. Fish and Game 1949 Salt Program; Johnson Flying Service; Salmon River Breaks Primitive Area; Lantz Bar; Outfitters,"Idaho National Forest; Payette National Forest; Warren, ID; Barth Hot Springs; Frank Church Wilderness Area;",Subject Files,Idaho_Primitive_Area,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/629,629
"McCall, Idaho: Cemetery Folder",6/11/1986 - 4/18/1996,6/11/1986,4/18/1996,1986-1996,"1 pages of subject files containing and related to McCall, Idaho: Cemetery",,,The Star-News;,Cemetery;,"McCall, ID;",Subject Files,McCall_Idaho-Cemetery,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/630,630
Idaho State Prison Folder,3/1/1876 - 10/16/1978,1876-03-01,10/16/1978,1876-1978,45 pages of subject files containing and related to Idaho State Prison,Sheriff Joe Daly; Hogan the Stiff; Jail Management;,,Idaho Statesman;,&quot;The Old Penn&quot;; Prisoners; Escapes; State Penitentiary; Warden&apos;s House; escapes; Bishop&apos;s House; Electricity in Idaho Museum; Jail Management;,"Boise, ID;",Subject Files,Idaho_State_Prison,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/631,631
Idaho Territory: History and Politics Folder,3/3/1963 - 11/10/2016,3/3/1963,11/10/2016,1963-2016,47 pages of subject files containing and related to Idaho Territory: History and Politics,John Carrey; William Butler;,,Idaho Statesman; Incredible Idaho;,Idaho Territory; Idaho Centennial; William Butler;,"Sliver City, ID; Tamarack, ID; Idaho Territory;",Subject Files,Idaho_Territory-History_and_Politics,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/632,632
"Indian Valley, Idaho Folder",8/1/1978 - 10/1/2001,8/1/1978,10/1/2001,1978-2001,"4 pages of subject files containing and related to Indian Valley, Idaho",,,High Country News; Idaho Statesman;,Pioneers; Sheep; Basques; Valley General Store; Sheep-shearing; Indian Valley Bank;,"Indian Valley, ID;",Subject Files,Indian_Valley_Idaho,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/633,633
Intermountain Historical &amp; Genealogical Society Folder,2/1/1973 - 10/11/1973,2/1/1973,10/11/1973,1973-1973,14 pages of subject files containing and related to Intermountain Historical &amp; Genealogical Society,Frank Fry;,By-Laws;,The Star-News;,Long Valley History; The Genealogical Society; Constituion and Bylaws;,Long Valley;,Subject Files,Intermountain_Historical_&amp;_Genealogical_Society,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/634,634
Idaho History: Ethnic Minorities Folder,1/1/1840 - 1/1/1970,1840-01-01,1/1/1970,1840-1970,7 pages of subject files containing and related to Idaho History: Ethnic Minorities,Robert S. Moody; Elvina Moulton; John West;,Newsletter;,Idaho Statesman; The Minidoka Irrigator;,African Americans; Chinese; Japanese Camps; Mexicans; Basques; Black History Month; OregonTrail; Mining Camps; One song Many Voices; The Black Church in Idaho; Boise Black Heritage roots in Lee Street Neighborhood; Idaho City; Last Chinese; 1937; Dean of colored pioneers; The Minidoka Irrigator;,"Hunt, ID;",Subject Files,Idaho_History-Ethnic_Minorities,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/635,635
Kelly&apos;s Whitewater Park Folder,6/16/2010 - 10/1/2015,6/16/2010,10/1/2015,2010-2015,37 pages of subject files containing and related to Kelly&apos;s Whitewater Park,Mark Pickard; Kristina Pickard; Kelly Brennan; Devon Barker-Hicks; Mike Hicks;,,Long Valley Advocate; The Star-News;,Whitewater Kayaking Course; Summer Sports; Payette River Games; Payette River Fishing Derby;,"Cascade, ID;",Subject Files,Kelly&apos;s_Whitewater_Park,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/636,636
Kit Worthington Foundation for Music (The Gig) Folder,5/14/2015 - 5/21/2015,5/14/2015,5/21/2015,2015-2015,2 pages of subject files containing and related to Kit Worthington Foundation for Music (The Gig),Kit Worthington;,,The Star-News;,Grants for Children&apos;s Music; Kit Worthington Foundation; The Gig; Bistro 45; Scholorships,"McCall, ID;",Subject Files,Kit_Worthington_Foundation_for_Music_(The_Gig),McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/637,637
KMCL fm &amp; KMXM fm Folder,11/1/1990 - 11/6/2008,11/1/1990,11/6/2008,1990-2008,5 pages of subject files containing and related to KMCL fm &amp; KMXM fm,Dean Hagerman; Nancy Gentry; David Eaton; Scott Lockwood,,The Star-News;,Radio Station; Music Station; 101.1 fm; Idaho Heartland Broadcasting; Brundage Mountain Air; FM Idaho Co.;,"McCall, ID;",Subject Files,KMCL_fm_&amp;_KMXM_fm,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/638,638
"Knox, Idaho Folder",1/1/1978 - 1/1/1978,1/1/1978,1/1/1978,1978-1978,"1 pages of subject files containing and related to Knox, Idaho",,Written History;,,Freight Station; Thunder Mountain Road; Boise-Thunder Mountain Road; Warm Lake; freight wagons;,"Cascade, ID;",Subject Files,Knox_Idaho,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/639,639
"Kuna, Idaho Folder",7/26/1964 - 7/26/1964,7/26/1964,7/26/1964,1964-1964,"1 pages of subject files containing and related to Kuna, Idaho",,,Idaho Statesman;,15 Mile House; Owyhee Stage Road; Railroads; Dairying; Arrowrock Dam; dairy; New York Canal;,"Kuna, ID;",Subject Files,Kuna_Idaho,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/640,640
"Lake City, Idaho Folder",1/1/1978 - 1/1/1978,1/1/1978,1/1/1978,1978-1978,"1 pages of subject files containing and related to Lake City, Idaho",,Written History;,,Gold Fields; Nellie Trenton Mills; Poor Man&apos;s Creek; gold town;,Long Valley;,Subject Files,Lake_City_Idaho,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/641,641
