title,dates,start,end,span,description,people,doctype,publisher,keywords,locations,filetype,item-id,source,type,format,rights,language,link,cdmid
4-H Folder,8/15/1984 - 8/19/2010,8/15/1984,8/19/2010,1984-2010,2 pages of subject files containing and related to 4-H,"Kleint, Kathy",,The Star-News;,Home Economics; Livestock; Gardening; Donnelly Community Garden; Mechanics;,"Donnelly, ID; Valley County;",Subject Files,4-H,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/406,406
ACLU Folder,5/15/2014 - 5/15/2014,5/15/2014,5/15/2014,2014-2014,1 pages of subject files containing and related to ACLU,"Morales, Leo; Grote, Tom;",,The Star-News;,American Civil Liberties Union; 2014 Max Dalton Open Government Award;,Idaho;,Subject Files,ACLU,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/407,407
Advertising Folder,1/31/1868 - 1/31/1976,1868-01-31,1/31/1976,1868-1976,2 pages of subject files containing and related to Advertising,,,Idaho Statesman;,J. Harry Hopffgartin Billboards; Vogan&apos;s Chocolates; A. G. Lachapelle; Shainwald Bros;,"Boise, ID; Boise City, ID;",Subject Files,Advertising,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/408,408
"Adams County, Idaho Folder",7/23/1939 - 12/24/2014,7/23/1939,12/24/2014,1939-2014,"49 pages of subject files containing and related to Adams County, Idaho",,,Idaho Statesman; The Star-News,Campbell Ranch; Packer John Cabin; Hotsprings; Pacific &amp; Idaho Northern Rail Road; Railroads; Little Ski Hill; Power Plant Project; County Elections; Long Valley Reservior; Adams Co. Historical Society; Meadows Valley Ambulance Service;,"New Meadows, ID; Council, ID;",Subject Files,Adams_County_Idaho,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/409,409
Aeronauntics: Accidents Folder,2/18/1943 - 7/9/2015,2/18/1943,7/9/2015,1943-2015,129 pages of subject files containing and related to Aeronauntics: Accidents,"Langer, Charley J.; Stohr, W. Penn; Mr. Sayler; Stringham, Bryant; Woods, Bill; Law, Bill; Ramsey, William; Delp, Ron; Eldridge, Bill &amp; Molly; Manly, Howard F.; Gregersen, Marvin D.; Zuck, Jeremy E.; Snow, Berk; Beers, Suzanne;",,Heritage Program of US Dept. of Agriculture Forest Service; The American Weekly; Idaho Statesman; The Long Valley Advocate; The Star-News;,Loon Lake Crash; Penn Stohr; Backcountry Aircrashes; B-23 Bomber; USFS; Air Crash Reserve;,"Loon Lake, ID;",Subject Files,Aeronauntics-Accidents,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/410,410
Aeronautics in Idaho (b) Folder,10/13/1910 - 8/6/2015,10/13/1910,8/6/2015,1910-2015,13 pages of subject files containing and related to Aeronautics in Idaho (b),"Ray Arnold; Sean Wall; Bill Dorris; Goodman, Austin; Fogg, Bob;",,Idaho Statesman; The Star-News,Johnson Flying Service; Smoke Jumpers; FAA and Snowbank Mountain;,"McCall, ID;",Subject Files,Aeronautics_in_Idaho_(b),McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/411,411
Aeronautics in Idaho (c) Folder,10/13/1910 - 8/6/2015,10/13/1910,8/6/2015,1910-2015,13 pages of subject files containing and related to Aeronautics in Idaho (c),"William Sanborn; Art Lazzarini; Blake Swanson; Fogg, Bob; Arnold, Ray; Goodman, Austin;",,The Star-News; The Idaho Statesman; The Long Valley Advocate,Johnson Flying Service; Smoke Jumpers; McCall Air; Paragliders;,"McCall, ID;",Subject Files,Aeronautics_in_Idaho_(c),McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/412,412
Aeronautics in Idaho (a) Folder,10/13/1910 - 8/6/2015,10/13/1910,8/6/2015,1910-2015,44 pages of subject files containing and related to Aeronautics in Idaho (a),Mayor Don Bailey; Mr. Bob Johnson; Johnson Flying Service; Dick johnson; Bob Fogg; Bill Dorris; Walter Brookins; James Ward; Curtis Biplane; William Sanborn; Ray Arnold; Art Lazzarini; Blake Swanson,,Cascade News; Idaho Statesman; The Star-News;,Johnson Flying Service; Smoke Jumpers; Wings over Idaho; McCall Air;,"McCall, ID;",Subject Files,Aeronautics_in_Idaho_(a),McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/413,413
Air Crash of Bill Keating Family Folder,5/2/2008 - 5/15/2008,5/2/2008,5/15/2008,2008-2008,12 pages of subject files containing and related to Air Crash of Bill Keating Family,"Bill Keating; Dylan Pickering; Tyler Pickering; William Pickering; Keating, Bill; Fuller, Mark; Mooney, Justin;",,The Star-News;,"Airport; Aeronautics; Pickering; Airport in McCall, ID;","McCall, ID;",Subject Files,Air_Crash_of_Bill_Keating_Family,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/414,414
"Alpha, Idaho Folder",5/25/1890 - 1/21/1971,1890-05-25,1/21/1971,1890-1971,"4 pages of subject files containing and related to Alpha, Idaho",Gilber Moore; James Flood; George Horner; John Hasbrouck; Tommy Walch; James Lindsay; Dorsey Herrick,,High Country News; The Star-News;,Alpha Grange; Alpha Ditch; Long Valley; Community of Alpha;,"Alpha, ID; Cascade, ID; Clear Creek, ID; Long Valley;",Subject Files,Alpha_Idaho,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/415,415
Automobile Accidents Folder,6/1/1972 - 1/28/2016,6/1/1972,1/28/2016,1972-2016,98 pages of subject files containing and related to Automobile Accidents,,,The Long Valley Advocate; The Star-News,Car Accidents; Deaths; U.S. Hwy 95; Warren Wagon;,"McCall, ID; Wenatchee, WA; Riggins, ID; New Meadows, ID;",Subject Files,Automobile_Accidents,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/416,416
Alpine Lakes Folder,8/20/1987 - 2/6/1999,8/20/1987,2/6/1999,1987-1999,13 pages of subject files containing and related to Alpine Lakes,,,Idaho Statesman;,Fishing; McCall Fish Hatchery; fishing; hiking; Goose lake; Blue lake; Summit lake; Granite lake; Snowslide lake; Coffee Cup lake; Grassy Mountain lakes; Tripod lake;,"Louie Lake, ID; Hazard Lake, ID; Boulder Lake, ID;",Subject Files,Alpine_Lakes,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/417,417
Automobile Accidents : Highway 55 Folder,2/13/1985 - 10/8/2015,2/13/1985,10/8/2015,1985-2015,71 pages of subject files containing and related to Automobile Accidents : Highway 55,,,Idaho Statesman; The Long Valley Advocate; The Star-News,Car Accidents; Automobiles; Accidents; Highway 55; Deaths; Spill,"Lake Fork, ID; McCall, ID; Donnelly, ID;",Subject Files,Automobile_Accidents_-Highway_55,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/418,418
Automobile Accidents: Highway 95 Folder,10/10/1996 - 8/8/2013,10/10/1996,8/8/2013,1996-2013,7 pages of subject files containing and related to Automobile Accidents: Highway 95,"Barnett Family; Dixon, Douglas; Cornejo, Leonardo;",,Long Valley Advocate; The Star-News,Car Accidents; U.S. 95;,"New Meadows, ID;",Subject Files,Automobile_Accidents-Highway_95,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/419,419
Alpine Playhouse Folder,7/8/1969 - 5/7/2015,7/8/1969,5/7/2015,1969-2015,32 pages of subject files containing and related to Alpine Playhouse,"Don Luce; Hellen Miller; Miller, Shawn and Joy; Reaid, James; Ratcliff, Bob; Graves, Ben; Kassis, Jim; Tillotson, Paul, Seiler, jazzmo; Shue, Jonah; Winston, George; Gorman, Skip;",,High Country News; Idaho Statesman; The Long Valley Advocate; The Star-News;,1916 Catholic Church; Little Theater; Concerts; Childrens&apos; Theater; Film; Folk Music; McCall music; folk music; McCall theater; McCall film; Catholic Church; Cascade thunder city stage company; Heartland alternative education center; Christmas Jazz Concert; God rest Ye Merry Jazzmen; Winter Show; Smooth Audio Flow;,"McCall, ID;",Subject Files,Alpine_Playhouse,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/420,420
"Automobile Accidents: Larson, Michelle Diane Folder",4/15/1996 - 12/11/1996,4/15/1996,12/11/1996,1996-1996,"7 pages of subject files containing and related to Automobile Accidents: Larson, Michelle Diane","Larson, Michelle Diane",,Idaho Statesman; The Long Valley Advocate; The Star-News,Car Accidents; Deaths;,"Cascade, ID; North Fork Payette River, ID;",Subject Files,Automobile_Accidents-Larson_Michelle_Diane,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/421,421
American Association of University Women Folder,7/25/1977 - 12/24/2014,7/25/1977,12/24/2014,1977-2014,21 pages of subject files containing and related to American Association of University Women,Pansy Jensen; Sandra Cottrell; Marilyn Arp; Hannah Willard; Keziah Sullivan,Charter;,The Long Valley Advocate; The Star-News,AAUW; American Associaion of University Women; Scholarships; S.T.E.M. Mentors; Great Decisions Program; Lobbying; Long Valley Branch;,"McCall, ID; Boise, ID; White Bird, ID;",Subject Files,American_Association_of_University_Women,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/422,422
Automobile License Plates Folder,1/1/1913 - 1/1/1913,1/1/1913,1/1/1913,1913-1913,1 pages of subject files containing and related to Automobile License Plates,,,Idaho Statesman;,License Plates; Idaho License Plates; 1913;,Idaho;,Subject Files,Automobile_License_Plates,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/423,423
American Legion Folder,5/27/1998 - 8/13/2015,5/27/1998,8/13/2015,1998-2015,18 pages of subject files containing and related to American Legion,Kevin Talbot; Mike Keithly; Jack Knoblock; Will Kerby; John Bennett; Bob Nissan; Tyler Young,,Long Valley Advocate; The Star-News;,Ceremonies; Scholarships; Veterans&apos; Trips; Flags; Memorial Day; The patriot guard riders; Veterns Day; Salute; Scholarship; Good citizen award; Diasabled float trip; Vetrens memorial park; Boy Scouts; Fundraiser; Citizenship Award;,"McCall, ID; Cascade, ID;",Subject Files,American_Legion,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/424,424
Automobile Shows Folder,7/16/2015 - 7/23/2015,7/16/2015,7/23/2015,2015-2015,2 pages of subject files containing and related to Automobile Shows,,,The Star-News;,Idaho Car Shows; Automobile Shows; The Pancake and Christmas House; McCall Auto Club Car Show;,"McCall, ID;",Subject Files,Automobile_Shows,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/425,425
"Banks, Idaho Folder",12/2/1963 - 8/9/2004,12/2/1963,8/9/2004,1963-2004,"8 pages of subject files containing and related to Banks, Idaho",,,Idaho Statesman;,History; Travel; Spill;,"Banks, ID;",Subject Files,Banks_Idaho,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/426,426
Antiquities Folder,1/19/1986 - 1/19/1986,1/19/1986,1/19/1986,1986-1986,1 pages of subject files containing and related to Antiquities,Marilyn K. Blattner,,Idaho Statesman;,Slot Machines;,"McCall, ID;",Subject Files,Antiquities,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/427,427
Barns Folder,2/24/1974 - 11/17/1994,2/24/1974,11/17/1994,1974-1994,9 pages of subject files containing and related to Barns,Nickolai Wargelin; Weldon R. Fry; Stuart Aiken; Dale Coreill; A.O. Huntley; Merrel Childer; John Klement;,,High Country News; Idaho Statesman; The Star-News;,Pioneers; Historic Barns; Nickolai Wargelin barn; Weldon R. Fry barn; Stuart Aiken barn; Dale Coreill&apos;s Dutch-style barn; A.O. Huntley barn; Merrel Childer barn; John Klement&apos;s hip-roof barn;,"Buhl, ID; McCall, ID; Salmon River; Indian Valley; Cuprum, ID; Grangeville, ID;",Subject Files,Barns,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/428,428
Basques Folder,1/8/2003 - 6/24/2004,1/8/2003,6/24/2004,2003-2004,3 pages of subject files containing and related to Basques,,,Idaho Statesman; The Star-News,Basques; Family; Sheepherding; Sheep Herders;,"Boise, ID; McCall, ID;",Subject Files,Basques,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/429,429
Appaloosa Horses Folder,11/8/1991 - 11/8/1991,11/8/1991,11/8/1991,1991-1991,1 pages of subject files containing and related to Appaloosa Horses,,,Idaho Statesman;,"Nez Perce Tribe; Lapwai Breeding Program; Appaloosa Club of Moscow, Idaho;","Lapwai, ID; Moscow, ID;",Subject Files,Appaloosa_Horses,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/430,430
Bicentennial: Clippings Folder,1/5/1975 - 12/31/1976,1/5/1975,12/31/1976,1975-1976,210 pages of subject files containing and related to Bicentennial: Clippings,,,Idaho Statesman; Metro News; The Star-News; Idaho Image,Bicycle Touring; Music; Sons of Idaho; Arts; Churches; Indians; Clubs; Horses; Birthday; Reenactment;,"Boise, ID; Rochester, NY;",Subject Files,Bicentennial-Clippings,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/431,431
Archaeology Folder,10/2/1975 - 9/14/2015,10/2/1975,9/14/2015,1975-2015,28 pages of subject files containing and related to Archaeology,Beverly Ingram; Joe Moore;,,The Star-News; Central Idaho Record; Idaho Statesman; USDA Forest Service Heritage Program,Pre-History; Artifacts; Archaeology; USDA Forest Service Heritage Program; Idaho Archaeological Society; Native American Indians;,"Grangeville, ID; Murphy, ID; Salmon River;",Subject Files,Archaeology,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/432,432
Bicentennial: Commission Misc. &amp; Comission Reports Folder,7/1/1974 - 6/30/1976,7/1/1974,6/30/1976,1974-1976,35 pages of subject files containing and related to Bicentennial: Commission Misc. &amp; Comission Reports,,Reports; Letters;,,Bicentennial Commission;,"McCall, ID; Boise, ID;",Subject Files,Bicentennial-Commission_Misc_&amp;_Comission_Reports,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/433,433
Bicentennial: Essays Folder,6/1/1976 - 8/1/1976,6/1/1976,8/1/1976,1976-1976,85 pages of subject files containing and related to Bicentennial: Essays,,,Family Weekly; News &amp; World Report; Time; Sunset,Writing Contest; Women; Bicentennial Essay Contest;,"Meridian, ID;",Subject Files,Bicentennial-Essays,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/434,434
Architecture Folder,7/1/1920 - 2/20/1985,7/1/1920,2/20/1985,1920-1985,3 pages of subject files containing and related to Architecture,Andrew Laidlaw,,Idaho Statesman; The Star-News,Buildings; Design; Architecture; Drake&apos;s Lodge; Hormaechea Cabin; McCall Design and Planning;,"Warm Lake; McCall, ID;",Subject Files,Architecture,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/435,435
Bicentennial: Events - after 1976 Folder,7/5/1978 - 3/4/1982,7/5/1978,3/4/1982,1978-1982,21 pages of subject files containing and related to Bicentennial: Events - after 1976,,,Idaho Statesman;,Parade;,"Yorktown, VA;",Subject Files,Bicentennial-Events_-_after_1976,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/436,436
Bicentennial: Idaho Historical Museum &amp; Programs Folder,4/6/1976 - 12/5/1992,4/6/1976,12/5/1992,1976-1992,25 pages of subject files containing and related to Bicentennial: Idaho Historical Museum &amp; Programs,,,Idaho Statesman;,Idaho Historical Museum; Programs; Museum; Education; Award; Bicentennial;,"Boise, ID; Caldwell, ID;",Subject Files,Bicentennial-Idaho_Historical_Museum_&amp;_Programs,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/437,437
"Arling, Idaho Folder",7/1/1919 - 10/11/2007,7/1/1919,10/11/2007,1919-2007,"9 pages of subject files containing and related to Arling, Idaho",F.B. Goode; S.M. Culp; Roberta Coates; Viola Goode; Barbara Brasch,,Cascade News; Idaho Statesman; The Star-News,Early Long Valley Town; Cascade Reservior; Mt. Valley Seed Co.; Culp&apos;s Store; Arling Club;,"Arling, ID; Norwood, ID;",Subject Files,Arling_Idaho,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/438,438
Bicentennial: Idaho Statesman Bicentennial Special Edition Folder,6/29/1975 - 7/4/1976,6/29/1975,7/4/1976,1975-1976,73 pages of subject files containing and related to Bicentennial: Idaho Statesman Bicentennial Special Edition,,,Idaho Statesman;,Idaho Bicentennial Commission; The 43rd Star;,Idaho;,Subject Files,Bicentennial-Idaho_Statesman_Bicentennial_Special_Edition,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/439,439
Assitance for Transients in Need Folder,2/20/2014 - 2/20/2014,2/20/2014,2/20/2014,2014-2014,1 pages of subject files containing and related to Assitance for Transients in Need,"Smith, Larry;",,The Star-News;,AFTIN;,"McCall, ID;",Subject Files,Assitance_for_Transients_in_Need,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/440,440
Bicentennial: Music Folder,6/20/1976 - 9/26/1976,6/20/1976,9/26/1976,1976-1976,14 pages of subject files containing and related to Bicentennial: Music,,,Idaho Statesman;,Music; All-Idaho Choristers; Ballet Folk of Moscow;,"Philadelphia, PA;",Subject Files,Bicentennial-Music,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/441,441
"Atlanta, Idaho Folder",10/10/1971 - 8/11/2002,10/10/1971,8/11/2002,1971-2002,"39 pages of subject files containing and related to Atlanta, Idaho",,,Idaho Statesman;,Ghost Town; Mining; Sawtooth Valley; Kirby Dam; Wildfire; Church; Atlanta Road;,"Atlanta, ID; Elmore County, ID;",Subject Files,Atlanta_Idaho,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/442,442
Bicentennial: Valley Forge Wagon Train &amp; Pony Express Folder,4/13/1975 - 1/1/1979,4/13/1975,1/1/1979,1975-1979,41 pages of subject files containing and related to Bicentennial: Valley Forge Wagon Train &amp; Pony Express,,,Idaho Statesman;,Wagon Train; Pony Express; Horses; Camps; Pioneers;,"Glenns Ferry, ID; Vale, ID; Jordan Valley, OR;",Subject Files,Bicentennial-Valley_Forge_Wagon_Train_&amp;_Pony_Express,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/443,443
"Big Creek, Idaho Folder",1/1/1935 - 7/25/1990,1/1/1935,7/25/1990,1935-1990,"69 pages of subject files containing and related to Big Creek, Idaho",,,Cascade News; High Country News; Idaho Statesman; The Star-News; The New York Times,Mining; Mines &amp; Mining Camps; Pioneers; memoirs;,"Big Creek, ID;",Subject Files,Big_Creek_Idaho,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/444,444
Bigfoot Folder,4/7/1972 - 6/23/2003,4/7/1972,6/23/2003,1972-2003,14 pages of subject files containing and related to Bigfoot,,,Daily Argus Observer; Idaho Statesman;,"Sasquach Legends; Bigfoot; Anthropology; Tamarack, Idaho;","Tamarack, ID;",Subject Files,Bigfoot,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/445,445
Blackhawk Development Folder,4/12/2007 - 7/14/2008,4/12/2007,7/14/2008,2007-2008,2 pages of subject files containing and related to Blackhawk Development,,,The Star-News;,Valley County Development; Blackhawk Development; Valley County Planning and Zoning Commission;,"McCall, ID; Valley County;",Subject Files,Blackhawk_Development,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/446,446
Bicentennial: National Clippings Folder,1/1/1974 - 7/10/1976,1/1/1974,7/10/1976,1974-1976,150 pages of subject files containing and related to Bicentennial: National Clippings,,,Idaho Statesman; Travel; Family Weekly; The Los Angeles Times; US News &amp; World Report;,National; Music; Reenactments; Arts;,"Philadelphia, PA; Fort Benning, GA;",Subject Files,Bicentennial-National_Clippings,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/447,447
Blacksmithing Folder,7/20/1983 - 7/20/1983,7/20/1983,7/20/1983,1983-1983,7 pages of subject files containing and related to Blacksmithing,"Gowen, Ray; Stilts, George Washington;",,Idaho Statesman;,Blacksmith; Prankster;,"Nampa, ID;",Subject Files,Blacksmithing,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/448,448
Boating and Boating Accidents Folder,7/4/1961 - 9/9/2010,7/4/1961,9/9/2010,1961-2010,21 pages of subject files containing and related to Boating and Boating Accidents,,,The Long Valley Advocate; Idaho Statesman;,Boating; Accident; Payette Lake; Cascade Dam; Payette River;,"Payette River, ID; Payette Lake, ID; McCall, ID;",Subject Files,Boating_and_Boating_Accidents,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/449,449
Boats And Boating Folder,6/18/1937 - 8/21/2008,6/18/1937,8/21/2008,1937-2008,15 pages of subject files containing and related to Boats And Boating,,,Cascade News; Idaho Statesman;,Summer Sports; Boating; Accident;,"Payette Lake, ID; McCall, ID;",Subject Files,Boats_And_Boating,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/450,450
Boise National Forest Folder,3/14/2013 - 5/16/2014,3/14/2013,5/16/2014,2013-2014,3 pages of subject files containing and related to Boise National Forest,"Faurot, Mary",,The Star-News;,Warm Lake Creek Bridge; Cascade Ranger District; illegal campfires;,Boise National Forest;,Subject Files,Boise_National_Forest,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/451,451
Boy Scouts Tall Timber District Folder,7/10/1951 - 11/19/2015,7/10/1951,11/19/2015,1951-2015,29 pages of subject files containing and related to Boy Scouts Tall Timber District,,Memorabilia;,Idaho Statesman; The Star-News,Boy Scouts of America; Cub Scouts; Camp Morrison; Camp Tapawingo; World Jamboree; Eagle Scouts; Pinewood Derby;,"McCall, ID; Valley County;",Subject Files,Boy_Scouts_Tall_Timber_District,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/452,452
Bridges Folder,9/20/1931 - 9/20/1931,9/20/1931,9/20/1931,1931-1931,3 pages of subject files containing and related to Bridges,,,Idaho Statesman;,Broadway Bridge; Payette Lake; Payette River;,"Payette Lake; McCall, ID; Payette River;",Subject Files,Bridges,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/453,453
"Burgdorf, Idaho: Description &amp; Travel Folder",3/15/1976 - 1/18/2001,3/15/1976,1/18/2001,1976-2001,"15 pages of subject files containing and related to Burgdorf, Idaho: Description &amp; Travel","Burgdorf, Fred C.; Harris, Scott;",Written History;,Idaho Statesman; The Star-News;,Hotsprings; Snowmobiling;,"Burgdorf, ID;",Subject Files,Burgdorf_Idaho-Description_&amp;_Travel,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/454,454
"Burgdorf, Idaho: History Folder",7/30/1970 - 7/28/2002,7/30/1970,7/28/2002,1970-2002,"8 pages of subject files containing and related to Burgdorf, Idaho: History",,,Idaho Statesman; The Star-News;,Hostprings; Resort;,"Burgdorf, ID;",Subject Files,Burgdorf_Idaho-History,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/455,455
Burnt Wagon Basin Folder,1/1/1978 - 4/6/2006,1/1/1978,4/6/2006,1978-2006,4 pages of subject files containing and related to Burnt Wagon Basin,"Wright, Dunham; Rogers, Roll; Swisher, John;",,Council Adams County Record; The Star-News;,Mingin; Mines &amp; Mining Camps; Wagon Train; Goodale&apos;s Wagon train;,Burnt Wagon Basin; Payette National Forest;,Subject Files,Burnt_Wagon_Basin,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/456,456
